date,mandi,crop,price,arrival_volume_tonnes
2023-01-01,Chennai,Paddy,2061.12,45.1
2023-01-02,Chennai,Paddy,2067.53,67.4
2023-01-03,Chennai,Paddy,2144.45,50.8
2023-01-04,Chennai,Paddy,1987.32,58.3
2023-01-05,Chennai,Paddy,2069.1,33.2
2023-01-06,Chennai,Paddy,2158.35,79.0
2023-01-07,Chennai,Paddy,2040.94,85.1
2023-01-08,Chennai,Paddy,2070.8,23.7
2023-01-09,Chennai,Paddy,2106.73,46.5
2023-01-10,Chennai,Paddy,2000.88,60.2
2023-01-11,Chennai,Paddy,2168.3,10.6
2023-01-12,Chennai,Paddy,2100.14,12.8
2023-01-13,Chennai,Paddy,2077.17,29.4
2023-01-14,Chennai,Paddy,2108.68,61.2
2023-01-15,Chennai,Paddy,2045.68,95.1
2023-01-16,Chennai,Paddy,2143.3,69.4
2023-01-17,Chennai,Paddy,2076.25,96.6
2023-01-18,Chennai,Paddy,2007.69,28.6
2023-01-19,Chennai,Paddy,2109.01,49.3
2023-01-20,Chennai,Paddy,2072.77,83.1
2023-01-21,Chennai,Paddy,2115.15,65.7
2023-01-22,Chennai,Paddy,2027.79,76.7
2023-01-23,Chennai,Paddy,2068.13,27.5
2023-01-24,Chennai,Paddy,2122.52,61.3
2023-01-25,Chennai,Paddy,2056.62,54.9
2023-01-26,Chennai,Paddy,1976.54,12.1
2023-01-27,Chennai,Paddy,2084.24,83.3
2023-01-28,Chennai,Paddy,2079.92,59.6
2023-01-29,Chennai,Paddy,2086.13,37.5
2023-01-30,Chennai,Paddy,2077.3,18.6
2023-01-31,Chennai,Paddy,2136.14,93.1
2023-02-01,Chennai,Paddy,2096.03,64.3
2023-02-02,Chennai,Paddy,2113.66,90.7
2023-02-03,Chennai,Paddy,2168.39,85.1
2023-02-04,Chennai,Paddy,2029.51,42.1
2023-02-05,Chennai,Paddy,2035.17,16.2
2023-02-06,Chennai,Paddy,2130.36,38.1
2023-02-07,Chennai,Paddy,2024.07,40.0
2023-02-08,Chennai,Paddy,2075.76,45.8
2023-02-09,Chennai,Paddy,2085.6,10.6
2023-02-10,Chennai,Paddy,1938.25,44.3
2023-02-11,Chennai,Paddy,2053.91,93.2
2023-02-12,Chennai,Paddy,2039.69,16.7
2023-02-13,Chennai,Paddy,2056.78,19.4
2023-02-14,Chennai,Paddy,2054.22,69.2
2023-02-15,Chennai,Paddy,2090.44,22.9
2023-02-16,Chennai,Paddy,2116.74,66.9
2023-02-17,Chennai,Paddy,2081.33,60.0
2023-02-18,Chennai,Paddy,2066.2,84.5
2023-02-19,Chennai,Paddy,2110.56,58.6
2023-02-20,Chennai,Paddy,2072.73,42.7
2023-02-21,Chennai,Paddy,2133.97,32.4
2023-02-22,Chennai,Paddy,2146.19,31.2
2023-02-23,Chennai,Paddy,2030.1,91.3
2023-02-24,Chennai,Paddy,2156.42,98.7
2023-02-25,Chennai,Paddy,2093.76,39.2
2023-02-26,Chennai,Paddy,2173.54,19.8
2023-02-27,Chennai,Paddy,2054.61,73.1
2023-02-28,Chennai,Paddy,2124.55,12.7
2023-03-01,Chennai,Paddy,2343.13,30.2
2023-03-02,Chennai,Paddy,2316.97,90.8
2023-03-03,Chennai,Paddy,2318.73,76.6
2023-03-04,Chennai,Paddy,2366.51,15.2
2023-03-05,Chennai,Paddy,2403.91,32.3
2023-03-06,Chennai,Paddy,2305.22,31.6
2023-03-07,Chennai,Paddy,2346.39,94.9
2023-03-08,Chennai,Paddy,2324.42,71.9
2023-03-09,Chennai,Paddy,2277.72,92.1
2023-03-10,Chennai,Paddy,2296.49,71.9
2023-03-11,Chennai,Paddy,2258.55,35.1
2023-03-12,Chennai,Paddy,2249.62,54.3
2023-03-13,Chennai,Paddy,2264.74,51.9
2023-03-14,Chennai,Paddy,2331.99,12.5
2023-03-15,Chennai,Paddy,2325.84,19.3
2023-03-16,Chennai,Paddy,2297.95,91.0
2023-03-17,Chennai,Paddy,2348.95,14.0
2023-03-18,Chennai,Paddy,2332.35,65.6
2023-03-19,Chennai,Paddy,2371.24,65.5
2023-03-20,Chennai,Paddy,2306.91,60.2
2023-03-21,Chennai,Paddy,2298.0,80.2
2023-03-22,Chennai,Paddy,2315.07,19.7
2023-03-23,Chennai,Paddy,2308.73,81.5
2023-03-24,Chennai,Paddy,2293.27,16.3
2023-03-25,Chennai,Paddy,2324.59,24.4
2023-03-26,Chennai,Paddy,2358.23,69.3
2023-03-27,Chennai,Paddy,2273.85,35.9
2023-03-28,Chennai,Paddy,2352.31,99.5
2023-03-29,Chennai,Paddy,2402.6,48.0
2023-03-30,Chennai,Paddy,2281.39,78.5
2023-03-31,Chennai,Paddy,2330.36,57.8
2023-04-01,Chennai,Paddy,2290.59,97.0
2023-04-02,Chennai,Paddy,2349.75,44.6
2023-04-03,Chennai,Paddy,2307.63,99.5
2023-04-04,Chennai,Paddy,2218.35,74.5
2023-04-05,Chennai,Paddy,2282.3,80.9
2023-04-06,Chennai,Paddy,2300.82,79.1
2023-04-07,Chennai,Paddy,2297.72,97.5
2023-04-08,Chennai,Paddy,2337.5,73.4
2023-04-09,Chennai,Paddy,2242.12,34.7
2023-04-10,Chennai,Paddy,2328.97,72.5
2023-04-11,Chennai,Paddy,2283.65,17.5
2023-04-12,Chennai,Paddy,2365.95,64.3
2023-04-13,Chennai,Paddy,2331.42,70.7
2023-04-14,Chennai,Paddy,2316.9,59.8
2023-04-15,Chennai,Paddy,2325.14,28.9
2023-04-16,Chennai,Paddy,2276.81,38.5
2023-04-17,Chennai,Paddy,2308.34,37.9
2023-04-18,Chennai,Paddy,2212.95,59.1
2023-04-19,Chennai,Paddy,2388.03,74.7
2023-04-20,Chennai,Paddy,2445.45,90.3
2023-04-21,Chennai,Paddy,2309.13,28.7
2023-04-22,Chennai,Paddy,2356.31,48.5
2023-04-23,Chennai,Paddy,2203.8,91.7
2023-04-24,Chennai,Paddy,2246.73,78.4
2023-04-25,Chennai,Paddy,2332.62,46.0
2023-04-26,Chennai,Paddy,2301.83,76.3
2023-04-27,Chennai,Paddy,2251.9,96.0
2023-04-28,Chennai,Paddy,2353.91,16.7
2023-04-29,Chennai,Paddy,2300.31,26.9
2023-04-30,Chennai,Paddy,2357.56,13.5
2023-05-01,Chennai,Paddy,2365.41,44.3
2023-05-02,Chennai,Paddy,2341.62,78.7
2023-05-03,Chennai,Paddy,2382.2,17.3
2023-05-04,Chennai,Paddy,2335.15,37.0
2023-05-05,Chennai,Paddy,2361.63,27.4
2023-05-06,Chennai,Paddy,2399.79,60.8
2023-05-07,Chennai,Paddy,2356.04,57.8
2023-05-08,Chennai,Paddy,2384.33,79.9
2023-05-09,Chennai,Paddy,2351.46,12.7
2023-05-10,Chennai,Paddy,2322.44,40.2
2023-05-11,Chennai,Paddy,2354.13,22.9
2023-05-12,Chennai,Paddy,2390.64,63.0
