date,mandi,crop,price,arrival_volume_tonnes
2023-01-01,Azadpur,Wheat,2559.54,467.9
2023-01-02,Azadpur,Wheat,2520.64,357.0
2023-01-03,Azadpur,Wheat,2490.8,248.4
2023-01-04,Azadpur,Wheat,2496.23,133.8
2023-01-05,Azadpur,Wheat,2445.33,58.1
2023-01-06,Azadpur,Wheat,2530.86,123.1
2023-01-07,Azadpur,Wheat,2511.24,429.9
2023-01-08,Azadpur,Wheat,2439.68,488.9
2023-01-09,Azadpur,Wheat,2528.62,90.6
2023-01-10,Azadpur,Wheat,2601.81,133.3
2023-01-11,Azadpur,Wheat,2544.42,259.4
2023-01-12,Azadpur,Wheat,2576.61,166.7
2023-01-13,Azadpur,Wheat,2569.49,238.6
2023-01-14,Azadpur,Wheat,2509.38,406.7
2023-01-15,Azadpur,Wheat,2507.96,364.4
2023-01-16,Azadpur,Wheat,2551.66,386.3
2023-01-17,Azadpur,Wheat,2557.81,337.7
2023-01-18,Azadpur,Wheat,2577.94,439.2
2023-01-19,Azadpur,Wheat,2564.91,97.0
2023-01-20,Azadpur,Wheat,2599.32,282.5
2023-01-21,Azadpur,Wheat,2515.2,94.7
2023-01-22,Azadpur,Wheat,2542.25,180.1
2023-01-23,Azadpur,Wheat,2477.66,473.5
2023-01-24,Azadpur,Wheat,2548.51,54.8
2023-01-25,Azadpur,Wheat,2455.35,299.3
2023-01-26,Azadpur,Wheat,2614.98,172.3
2023-01-27,Azadpur,Wheat,2522.51,420.3
2023-01-28,Azadpur,Wheat,2520.34,407.2
2023-01-29,Azadpur,Wheat,2546.85,333.4
2023-01-30,Azadpur,Wheat,2546.5,261.9
2023-01-31,Azadpur,Wheat,2609.86,292.8
2023-02-01,Azadpur,Wheat,2517.81,259.0
2023-02-02,Azadpur,Wheat,2540.5,50.5
2023-02-03,Azadpur,Wheat,2533.96,296.9
2023-02-04,Azadpur,Wheat,2488.84,305.3
2023-02-05,Azadpur,Wheat,2585.17,158.4
2023-02-06,Azadpur,Wheat,2501.1,420.8
2023-02-07,Azadpur,Wheat,2610.94,435.6
2023-02-08,Azadpur,Wheat,2543.23,107.0
2023-02-09,Azadpur,Wheat,2519.04,264.4
2023-02-10,Azadpur,Wheat,2522.76,176.2
2023-02-11,Azadpur,Wheat,2538.78,321.5
2023-02-12,Azadpur,Wheat,2562.42,383.7
2023-02-13,Azadpur,Wheat,2568.97,409.9
2023-02-14,Azadpur,Wheat,2520.87,434.6
2023-02-15,Azadpur,Wheat,2522.48,427.8
2023-02-16,Azadpur,Wheat,2519.53,97.1
2023-02-17,Azadpur,Wheat,2524.69,189.6
2023-02-18,Azadpur,Wheat,2554.08,79.5
2023-02-19,Azadpur,Wheat,2455.3,272.0
2023-02-20,Azadpur,Wheat,2578.99,270.3
2023-02-21,Azadpur,Wheat,2628.96,426.3
2023-02-22,Azadpur,Wheat,2505.34,180.6
2023-02-23,Azadpur,Wheat,2538.96,90.8
2023-02-24,Azadpur,Wheat,2548.2,307.5
2023-02-25,Azadpur,Wheat,2451.98,406.7
2023-02-26,Azadpur,Wheat,2475.69,277.0
2023-02-27,Azadpur,Wheat,2519.89,454.7
2023-02-28,Azadpur,Wheat,2564.19,429.0
2023-03-01,Azadpur,Wheat,2219.55,99.7
2023-03-02,Azadpur,Wheat,2235.54,283.1
2023-03-03,Azadpur,Wheat,2223.45,313.5
2023-03-04,Azadpur,Wheat,2231.21,459.9
2023-03-05,Azadpur,Wheat,2180.07,359.0
2023-03-06,Azadpur,Wheat,2153.26,174.8
2023-03-07,Azadpur,Wheat,2265.46,289.8
2023-03-08,Azadpur,Wheat,2232.42,200.0
2023-03-09,Azadpur,Wheat,2173.16,276.0
2023-03-10,Azadpur,Wheat,2306.74,301.2
2023-03-11,Azadpur,Wheat,2208.52,482.9
2023-03-12,Azadpur,Wheat,2157.68,101.4
2023-03-13,Azadpur,Wheat,2327.79,124.8
2023-03-14,Azadpur,Wheat,2199.81,367.1
2023-03-15,Azadpur,Wheat,2207.97,314.6
2023-03-16,Azadpur,Wheat,2212.67,193.8
2023-03-17,Azadpur,Wheat,2196.55,266.4
2023-03-18,Azadpur,Wheat,2238.67,491.7
2023-03-19,Azadpur,Wheat,2232.86,344.6
2023-03-20,Azadpur,Wheat,2208.06,387.1
2023-03-21,Azadpur,Wheat,2298.04,188.1
2023-03-22,Azadpur,Wheat,2251.4,288.3
2023-03-23,Azadpur,Wheat,2217.65,377.9
2023-03-24,Azadpur,Wheat,2260.66,419.3
2023-03-25,Azadpur,Wheat,2282.65,221.0
2023-03-26,Azadpur,Wheat,2287.02,360.8
2023-03-27,Azadpur,Wheat,2205.01,202.9
2023-03-28,Azadpur,Wheat,2220.71,472.1
2023-03-29,Azadpur,Wheat,2031.36,61.0
2023-03-30,Azadpur,Wheat,2239.28,134.3
2023-03-31,Azadpur,Wheat,2282.46,415.1
2023-04-01,Azadpur,Wheat,1878.14,472.7
2023-04-02,Azadpur,Wheat,1907.57,292.6
2023-04-03,Azadpur,Wheat,1858.05,224.6
2023-04-04,Azadpur,Wheat,1960.34,126.8
2023-04-05,Azadpur,Wheat,1788.71,170.3
2023-04-06,Azadpur,Wheat,1876.06,59.1
2023-04-07,Azadpur,Wheat,1954.22,239.5
2023-04-08,Azadpur,Wheat,1877.85,394.7
2023-04-09,Azadpur,Wheat,1855.16,463.6
2023-04-10,Azadpur,Wheat,1846.48,397.8
2023-04-11,Azadpur,Wheat,1840.91,75.7
2023-04-12,Azadpur,Wheat,1869.16,53.5
2023-04-13,Azadpur,Wheat,1865.9,288.4
2023-04-14,Azadpur,Wheat,1908.67,383.6
2023-04-15,Azadpur,Wheat,1876.36,227.7
2023-04-16,Azadpur,Wheat,1826.01,378.5
2023-04-17,Azadpur,Wheat,1892.21,297.8
2023-04-18,Azadpur,Wheat,1881.61,400.4
2023-04-19,Azadpur,Wheat,1837.35,143.5
2023-04-20,Azadpur,Wheat,1942.69,302.3
2023-04-21,Azadpur,Wheat,1914.04,187.7
2023-04-22,Azadpur,Wheat,1949.0,412.1
2023-04-23,Azadpur,Wheat,1977.09,228.2
2023-04-24,Azadpur,Wheat,1774.04,168.8
2023-04-25,Azadpur,Wheat,1909.31,146.8
2023-04-26,Azadpur,Wheat,1905.77,323.8
2023-04-27,Azadpur,Wheat,2007.68,438.4
2023-04-28,Azadpur,Wheat,1915.14,209.0
2023-04-29,Azadpur,Wheat,1907.34,328.3
2023-04-30,Azadpur,Wheat,1815.26,142.7
2023-05-01,Azadpur,Wheat,1858.74,344.3
2023-05-02,Azadpur,Wheat,1880.02,275.5
